维度,题目数,Cronbach's Alpha
戒断症状,6,0.893626656630472
渴求性,3,0.7800922241798703
身心影响,4,0.862567540366554
手机依赖总表,13,0.9291013237036732
压力,7,0.8121642118365981
焦虑,7,0.881033203126199
抑郁,7,0.8912521245366183
DASS-21总表,21,0.9367810048291796
