因变量,相关系数r,回归系数β,R²
压力,0.5140077318417854,0.3552299964751499,0.26420394839313643
焦虑,0.460857353899904,0.31450035248501945,0.21238950064362128
抑郁,0.499037701451342,0.2993170602749384,0.2490386274698385
